2021-2022 elo,2020-2021 elo,TEAM,CONFERENCE,TEAM_ID
1653.0,1704,Warriors,West,1610612744
1703.0,1771,Celtics,East,1610612738
1644.0,1693,Heat,East,1610612748
1613.0,1651,Mavericks,West,1610612742
1658.0,1711,Bucks,East,1610612749
1643.0,1691,Suns,West,1610612756
1623.0,1664,76ers,East,1610612755
1602.0,1637,Grizzlies,West,1610612763
1644.0,1693,Nets,East,1610612751
1602.0,1636,Jazz,West,1610612762
1593.0,1624,Hawks,East,1610612737
1590.0,1621,Pelicans,West,1610612740
1578.0,1604,Nuggets,West,1610612743
1574.0,1599,Raptors,East,1610612761
1561.0,1582,Timberwolves,West,1610612750
1480.0,1474,Bulls,East,1610612741
1636.0,1682,Clippers,West,1610612746
1524.0,1533,Hornets,East,1610612766
1518.0,1524,Knicks,East,1610612752
1505.0,1507,Cavaliers,East,1610612739
1475.0,1467,Spurs,West,1610612759
1473.0,1465,Kings,West,1610612758
1448.0,1431,Pacers,East,1610612754
1431.0,1408,Lakers,West,1610612747
1372.0,1330,Pistons,East,1610612765
1350.0,1301,Wizards,East,1610612764
1348.0,1298,Magic,East,1610612753
1333.0,1278,Rockets,West,1610612745
1269.0,1192,Trail Blazers,West,1610612757
1204.0,1106,Thunder,West,1610612760
